Year;Month;Number_of_hours;Mean
2008;5;949608;25.5136947747635
2008;6;950352;24.6460428807812
2008;7;951072;24.0233200939346
2008;8;951816;23.9618651455904
2008;9;952560;24.4366336080426
2008;10;953280;24.7922274777794
2008;11;954024;25.0460444324495
2008;12;954744;25.2907743516037
2009;1;955488;25.4399148461276
2009;2;956232;25.7846995919419
2009;3;956904;26.2405931201728
2009;4;957648;25.964038849285
2009;5;958368;25.7310076002161
2009;6;959112;24.8806953213192
2009;7;959832;23.8564833433751
2009;8;960576;23.7528736301471
2009;9;961320;24.3167528996335
2009;10;962040;24.6380065496519
2009;11;962784;24.8488025241653
2009;12;963504;25.1703782056115
2010;1;964248;25.7748362444773
2010;2;964992;26.5078176817161
2010;3;965664;26.5423094097088
2010;4;966408;26.5215715873999
2010;5;967128;26.0436489352164
2010;6;967872;24.9833620675683
2010;7;968592;24.0116715465813
2010;8;969336;24.0551082481792
2010;9;970080;24.3903826229417
2010;10;970800;25.0461859243209
2010;11;971544;25.1430958447453
2010;12;972264;25.2173806652391
2011;1;973008;25.4162734477476
2011;2;973752;25.8233438111637
2011;3;974424;26.1558912812882
2011;4;975168;26.0879746943723
2011;5;975888;25.8580156308248
2011;6;976632;24.6403485556824
2011;7;977352;23.9567735147884
2011;8;978096;23.8512500985505
2011;9;978840;24.3033161800443
2011;10;979560;24.5913154942929
2011;11;980304;24.6810384827048
2011;12;981024;24.8169002399305
2012;1;981768;25.3187055392245
2012;2;982512;25.4441177043912
2012;3;983208;26.0731817701053
2012;4;983952;25.8143310843286
2012;5;984672;25.379533037284
2012;6;985416;24.6219980168028
2012;7;986136;23.825952980613
2012;8;986880;23.7876492783757
2012;9;987624;24.1696493180198
2012;10;988344;24.686554507687
2012;11;989088;24.9853642488047
2012;12;989808;25.1010048835342
2013;1;990552;25.7842629826361
2013;2;991296;26.1176996731868
2013;3;991968;26.264321938135
2013;4;992712;25.943370612475
2013;5;993432;25.665198407485
2013;6;994176;24.7065547807124
2013;7;994896;23.8628784909465
2013;8;995640;23.6899426874601
2013;9;996384;24.1028005366663
2013;10;997104;24.5526640274299
2013;11;997848;24.7225096484431
2013;12;998568;24.9683548899984
2014;1;999312;25.5061643534193
2014;2;1000056;25.9271084936184
2014;3;1000728;26.0101467952653
2014;4;1001472;25.9639274473396
2014;5;1002192;25.865602852503
2014;6;1002936;24.9925079392725
2014;7;1003656;23.8557112252863
2014;8;1004400;23.6238740454614
2014;9;1005144;24.0517256763164
2014;10;1005864;24.6781344587457
2014;11;1006608;24.7363384735639
2014;12;1007328;24.9668881384339
2015;1;1008072;25.4286667920255
2015;2;1008816;25.9867269792636
2015;3;1009488;26.1911310228553
2015;4;1010232;25.8772670352171
2015;5;1010952;25.7818767171339
2015;6;1011696;24.5407465437281
2015;7;1012416;24.0698460007956
2015;8;1013160;23.9511880671757
2015;9;1013904;24.361462213733
2015;10;1014624;24.8864175783386
2015;11;1015368;25.0065600568892
2015;12;1016088;25.3537993914749
2016;1;1016832;26.0846209094888
2016;2;1017576;26.6295129063154
2016;3;1018272;26.8862967928414
2016;4;1019016;26.4989837436025
2016;5;1019736;25.9048492774166
2016;6;1020480;25.0360189088341
2016;7;1021200;24.3498578444173
2016;8;1021944;24.2132401337856
2016;9;1022688;24.541890449523
2016;10;1023408;25.1968759075266
2016;11;1024152;25.327099895685
2016;12;1024872;25.5843193735897
2017;1;1025616;25.950608400127
2017;2;1026360;26.0895403884541
2017;3;1027032;26.4432398143621
2017;4;1027776;26.3634906795844
2017;5;1028496;25.961610645185
2017;6;1029240;25.1802860975674
2017;7;1029960;24.094175273615
2017;8;1030704;24.0770237714639
2017;9;1031448;24.4806741440158
2017;10;1032168;24.9602045917473
2017;11;1032912;24.9562731128573
2017;12;1033632;25.3962197539062
2018;1;1034376;25.3999457336666
2018;2;1035120;26.1158832840107
2018;3;1035792;26.0296438865503
2018;4;1036536;25.745658706875
2018;5;1037256;25.5737692917642
2018;6;1038000;24.9152080593279
2018;7;1038720;24.1942994821885
2018;8;1039464;24.1314042076683
2018;9;1040208;24.6644416694069
2018;10;1040928;25.142324011676
2018;11;1041672;25.4760497935325
2018;12;1042392;25.3731649258573
2019;1;1043136;25.9397764746369
2019;2;1043880;26.5725413162355
2019;3;1044552;26.7814889386608
2019;4;1045296;26.6865457348915
2019;5;1046016;26.057808871675
2019;6;1046760;25.0897235635734
2019;7;1047480;24.2951991069348
2019;8;1048224;24.1744963205731
2019;9;1048968;24.6891369481062
2019;10;1049688;24.8708623488002
2019;11;1050432;25.4681101247638
2019;12;1051152;25.6200177931229
2020;1;1051896;26.2626247685847
2020;2;1052640;26.6726920723487
2020;3;1053336;26.7249997646078
2020;4;1054080;26.5378864755991
2020;5;1054800;26.2076275906891
2020;6;1055544;24.9963000028624
2020;7;1056264;24.1888522690805
2020;8;1057008;24.1536655004414
2020;9;1057752;24.348235553587
2020;10;1058472;24.9739047508785
2020;11;1059216;25.1874597965272
2020;12;1059936;25.4015884237567
2021;1;1060680;25.5853598172708
2021;2;1061424;26.3423958905885
2021;3;1062096;26.2030951276198
2021;4;1062840;26.2716104592753
2021;5;1063560;25.9912419339862
2021;6;1064304;25.4836714211478
2021;7;1065024;24.7739585359387
2021;8;1065768;24.6433425236829
2021;9;1066512;24.8425008630218
2021;10;1067232;25.3673320812342
2021;11;1067976;25.627652694508
2021;12;1068696;25.7450592699449
